start_date,end_date,resolution,imbalance,system_trend,positive_imbalance_settlement_price,negative_imbalance_settlement_price,missing_data_list,updated_date,partition_day
2025-07-06 22:00:00.0000000 +00:00,2025-07-06 22:15:00.0000000 +00:00,PT15M,-128,HAUSSE,42.61,46.15,N/A,2025-07-14 12:28:04.0000000 +00:00,20250707
2025-07-06 22:15:00.0000000 +00:00,2025-07-06 22:30:00.0000000 +00:00,PT15M,-104,HAUSSE,39.36,42.62,N/A,2025-07-14 12:28:04.0000000 +00:00,20250707
2025-07-06 22:30:00.0000000 +00:00,2025-07-06 22:45:00.0000000 +00:00,PT15M,27,BAISSE,-30.1,-27.8,N/A,2025-07-08 08:30:15.0000000 +00:00,20250707
2025-07-06 22:45:00.0000000 +00:00,2025-07-06 23:00:00.0000000 +00:00,PT15M,198,BAISSE,-35.73,-32.99,N/A,2025-07-14 12:28:04.0000000 +00:00,20250707
2025-07-06 23:00:00.0000000 +00:00,2025-07-06 23:15:00.0000000 +00:00,PT15M,21,BAISSE,19.09,20.67,N/A,2025-07-14 12:28:05.0000000 +00:00,20250707
2025-07-06 23:15:00.0000000 +00:00,2025-07-06 23:30:00.0000000 +00:00,PT15M,-4,HAUSSE,18.95,20.53,N/A,2025-07-08 08:30:16.0000000 +00:00,20250707
2025-07-06 23:30:00.0000000 +00:00,2025-07-06 23:45:00.0000000 +00:00,PT15M,-108,HAUSSE,42.1,45.58,N/A,2025-07-08 08:30:16.0000000 +00:00,20250707
2025-07-06 23:45:00.0000000 +00:00,2025-07-07 00:00:00.0000000 +00:00,PT15M,0,HAUSSE,22.06,23.88,N/A,2025-07-14 12:28:05.0000000 +00:00,20250707
2025-07-07 00:00:00.0000000 +00:00,2025-07-07 00:15:00.0000000 +00:00,PT15M,-107,HAUSSE,29.1,31.52,N/A,2025-07-14 12:28:05.0000000 +00:00,20250707
2025-07-07 00:15:00.0000000 +00:00,2025-07-07 00:30:00.0000000 +00:00,PT15M,-43,HAUSSE,22.02,23.84,N/A,2025-07-08 08:30:16.0000000 +00:00,20250707
2025-07-07 00:30:00.0000000 +00:00,2025-07-07 00:45:00.0000000 +00:00,PT15M,-195,HAUSSE,26.26,28.44,N/A,2025-07-14 12:28:05.0000000 +00:00,20250707
2025-07-07 00:45:00.0000000 +00:00,2025-07-07 01:00:00.0000000 +00:00,PT15M,-120,HAUSSE,19.54,21.16,N/A,2025-07-14 12:28:05.0000000 +00:00,20250707
2025-07-07 01:00:00.0000000 +00:00,2025-07-07 01:15:00.0000000 +00:00,PT15M,-264,HAUSSE,179.24,194.1,N/A,2025-07-14 12:28:05.0000000 +00:00,20250707
2025-07-07 01:15:00.0000000 +00:00,2025-07-07 01:30:00.0000000 +00:00,PT15M,-268,HAUSSE,103.19,111.75,N/A,2025-07-14 12:28:05.0000000 +00:00,20250707
2025-07-07 01:30:00.0000000 +00:00,2025-07-07 01:45:00.0000000 +00:00,PT15M,-279,HAUSSE,31.37,33.97,N/A,2025-07-08 08:30:17.0000000 +00:00,20250707
2025-07-07 01:45:00.0000000 +00:00,2025-07-07 02:00:00.0000000 +00:00,PT15M,-251,HAUSSE,42.74,46.28,N/A,2025-07-14 12:28:05.0000000 +00:00,20250707
2025-07-07 02:00:00.0000000 +00:00,2025-07-07 02:15:00.0000000 +00:00,PT15M,-237,HAUSSE,56.99,61.71,N/A,2025-07-14 12:28:06.0000000 +00:00,20250707
2025-07-07 02:15:00.0000000 +00:00,2025-07-07 02:30:00.0000000 +00:00,PT15M,-223,HAUSSE,18.45,19.97,N/A,2025-07-08 08:30:17.0000000 +00:00,20250707
2025-07-07 02:30:00.0000000 +00:00,2025-07-07 02:45:00.0000000 +00:00,PT15M,-216,HAUSSE,21.74,23.54,N/A,2025-07-08 08:30:17.0000000 +00:00,20250707
2025-07-07 02:45:00.0000000 +00:00,2025-07-07 03:00:00.0000000 +00:00,PT15M,-314,HAUSSE,31.41,34.01,N/A,2025-07-08 08:30:18.0000000 +00:00,20250707
2025-07-07 03:00:00.0000000 +00:00,2025-07-07 03:15:00.0000000 +00:00,PT15M,-131,HAUSSE,34.06,36.88,N/A,2025-07-14 12:28:06.0000000 +00:00,20250707
2025-07-07 03:15:00.0000000 +00:00,2025-07-07 03:30:00.0000000 +00:00,PT15M,-148,HAUSSE,16.33,17.69,N/A,2025-07-08 08:30:18.0000000 +00:00,20250707
2025-07-07 03:30:00.0000000 +00:00,2025-07-07 03:45:00.0000000 +00:00,PT15M,-165,HAUSSE,39.5,42.78,N/A,2025-07-14 12:28:06.0000000 +00:00,20250707
2025-07-07 03:45:00.0000000 +00:00,2025-07-07 04:00:00.0000000 +00:00,PT15M,-121,HAUSSE,39.94,43.26,N/A,2025-07-08 08:30:18.0000000 +00:00,20250707
2025-07-07 04:00:00.0000000 +00:00,2025-07-07 04:15:00.0000000 +00:00,PT15M,-40,HAUSSE,-2.43,-2.25,N/A,2025-07-08 08:30:18.0000000 +00:00,20250707
2025-07-07 04:15:00.0000000 +00:00,2025-07-07 04:30:00.0000000 +00:00,PT15M,-129,HAUSSE,-2.43,-2.25,N/A,2025-07-08 08:30:18.0000000 +00:00,20250707
2025-07-07 04:30:00.0000000 +00:00,2025-07-07 04:45:00.0000000 +00:00,PT15M,-104,HAUSSE,-2.43,-2.25,N/A,2025-07-08 08:30:18.0000000 +00:00,20250707
2025-07-07 04:45:00.0000000 +00:00,2025-07-07 05:00:00.0000000 +00:00,PT15M,-128,HAUSSE,-2.43,-2.25,N/A,2025-07-08 08:30:18.0000000 +00:00,20250707
2025-07-07 05:00:00.0000000 +00:00,2025-07-07 05:15:00.0000000 +00:00,PT15M,237,BAISSE,-58.83,-54.33,N/A,2025-07-08 08:30:19.0000000 +00:00,20250707
2025-07-07 05:15:00.0000000 +00:00,2025-07-07 05:30:00.0000000 +00:00,PT15M,260,BAISSE,-131.42,-121.36,N/A,2025-07-08 08:30:19.0000000 +00:00,20250707
2025-07-07 05:30:00.0000000 +00:00,2025-07-07 05:45:00.0000000 +00:00,PT15M,266,BAISSE,-58.12,-53.68,N/A,2025-07-08 08:30:19.0000000 +00:00,20250707
2025-07-07 05:45:00.0000000 +00:00,2025-07-07 06:00:00.0000000 +00:00,PT15M,196,BAISSE,-3.31,-3.05,N/A,2025-07-14 12:28:07.0000000 +00:00,20250707
2025-07-07 06:00:00.0000000 +00:00,2025-07-07 06:15:00.0000000 +00:00,PT15M,171,BAISSE,17.53,18.99,N/A,2025-07-08 08:30:19.0000000 +00:00,20250707
2025-07-07 06:15:00.0000000 +00:00,2025-07-07 06:30:00.0000000 +00:00,PT15M,142,BAISSE,14.95,16.19,N/A,2025-07-14 12:28:07.0000000 +00:00,20250707
2025-07-07 06:30:00.0000000 +00:00,2025-07-07 06:45:00.0000000 +00:00,PT15M,122,BAISSE,11.75,12.73,N/A,2025-07-14 12:28:07.0000000 +00:00,20250707
2025-07-07 06:45:00.0000000 +00:00,2025-07-07 07:00:00.0000000 +00:00,PT15M,85,BAISSE,2.27,2.45,N/A,2025-07-08 08:30:20.0000000 +00:00,20250707
2025-07-07 07:00:00.0000000 +00:00,2025-07-07 07:15:00.0000000 +00:00,PT15M,-8,HAUSSE,23.18,25.1,N/A,2025-07-14 12:28:07.0000000 +00:00,20250707
2025-07-07 07:15:00.0000000 +00:00,2025-07-07 07:30:00.0000000 +00:00,PT15M,99,BAISSE,-8.42,-7.78,N/A,2025-07-08 08:30:20.0000000 +00:00,20250707
2025-07-07 07:30:00.0000000 +00:00,2025-07-07 07:45:00.0000000 +00:00,PT15M,251,BAISSE,-7.48,-6.9,N/A,2025-07-08 08:30:20.0000000 +00:00,20250707
2025-07-07 07:45:00.0000000 +00:00,2025-07-07 08:00:00.0000000 +00:00,PT15M,272,BAISSE,-12.76,-11.78,N/A,2025-07-08 08:30:21.0000000 +00:00,20250707
2025-07-07 08:00:00.0000000 +00:00,2025-07-07 08:15:00.0000000 +00:00,PT15M,143,BAISSE,-9.89,-9.13,N/A,2025-07-14 12:28:08.0000000 +00:00,20250707
2025-07-07 08:15:00.0000000 +00:00,2025-07-07 08:30:00.0000000 +00:00,PT15M,215,BAISSE,-13.54,-12.5,N/A,2025-07-14 12:28:08.0000000 +00:00,20250707
2025-07-07 08:30:00.0000000 +00:00,2025-07-07 08:45:00.0000000 +00:00,PT15M,203,BAISSE,-13.89,-12.83,N/A,2025-07-14 12:28:08.0000000 +00:00,20250707
2025-07-07 08:45:00.0000000 +00:00,2025-07-07 09:00:00.0000000 +00:00,PT15M,188,BAISSE,-13.26,-12.24,N/A,2025-07-14 12:28:08.0000000 +00:00,20250707
