,0
2025-01-01 00:00:00+01:00,12.36
2025-01-01 01:00:00+01:00,18.92
2025-01-01 02:00:00+01:00,16.66
2025-01-01 03:00:00+01:00,13.1
2025-01-01 04:00:00+01:00,5.9
2025-01-01 05:00:00+01:00,9.27
2025-01-01 06:00:00+01:00,10.04
2025-01-01 07:00:00+01:00,7.23
2025-01-01 08:00:00+01:00,12.83
2025-01-01 09:00:00+01:00,13.76
2025-01-01 10:00:00+01:00,17.95
2025-01-01 11:00:00+01:00,20.59
2025-01-01 12:00:00+01:00,28.11
2025-01-01 13:00:00+01:00,30.0
2025-01-01 14:00:00+01:00,21.5
2025-01-01 15:00:00+01:00,10.68
2025-01-01 16:00:00+01:00,20.18
2025-01-01 17:00:00+01:00,35.72
2025-01-01 18:00:00+01:00,48.06
2025-01-01 19:00:00+01:00,50.14
2025-01-01 20:00:00+01:00,41.5
2025-01-01 21:00:00+01:00,34.93
2025-01-01 22:00:00+01:00,34.69
2025-01-01 23:00:00+01:00,28.04
2025-01-02 00:00:00+01:00,39.84
2025-01-02 01:00:00+01:00,44.1
2025-01-02 02:00:00+01:00,44.7
2025-01-02 03:00:00+01:00,42.92
2025-01-02 04:00:00+01:00,40.15
2025-01-02 05:00:00+01:00,52.51
2025-01-02 06:00:00+01:00,93.3
2025-01-02 07:00:00+01:00,120.03
2025-01-02 08:00:00+01:00,135.52
2025-01-02 09:00:00+01:00,136.48
2025-01-02 10:00:00+01:00,129.04
2025-01-02 11:00:00+01:00,125.7
2025-01-02 12:00:00+01:00,125.72
2025-01-02 13:00:00+01:00,119.3
2025-01-02 14:00:00+01:00,124.65
2025-01-02 15:00:00+01:00,130.11
2025-01-02 16:00:00+01:00,139.5
2025-01-02 17:00:00+01:00,153.4
2025-01-02 18:00:00+01:00,153.15
2025-01-02 19:00:00+01:00,146.66
2025-01-02 20:00:00+01:00,130.6
2025-01-02 21:00:00+01:00,120.62
2025-01-02 22:00:00+01:00,117.89
2025-01-02 23:00:00+01:00,118.56
2025-01-03 00:00:00+01:00,103.88
2025-01-03 01:00:00+01:00,95.18
2025-01-03 02:00:00+01:00,89.94
2025-01-03 03:00:00+01:00,87.67
2025-01-03 04:00:00+01:00,84.06
2025-01-03 05:00:00+01:00,92.25
2025-01-03 06:00:00+01:00,100.14
2025-01-03 07:00:00+01:00,119.27
2025-01-03 08:00:00+01:00,127.28
2025-01-03 09:00:00+01:00,132.97
2025-01-03 10:00:00+01:00,130.52
2025-01-03 11:00:00+01:00,123.2
2025-01-03 12:00:00+01:00,113.51
2025-01-03 13:00:00+01:00,107.6
2025-01-03 14:00:00+01:00,105.88
2025-01-03 15:00:00+01:00,110.22
2025-01-03 16:00:00+01:00,123.2
2025-01-03 17:00:00+01:00,141.2
2025-01-03 18:00:00+01:00,144.48
2025-01-03 19:00:00+01:00,141.43
2025-01-03 20:00:00+01:00,133.2
2025-01-03 21:00:00+01:00,119.9
2025-01-03 22:00:00+01:00,123.58
2025-01-03 23:00:00+01:00,126.09
2025-01-04 00:00:00+01:00,109.06
2025-01-04 01:00:00+01:00,101.0
2025-01-04 02:00:00+01:00,95.53
2025-01-04 03:00:00+01:00,94.33
2025-01-04 04:00:00+01:00,96.62
2025-01-04 05:00:00+01:00,102.63
2025-01-04 06:00:00+01:00,110.89
2025-01-04 07:00:00+01:00,120.25
2025-01-04 08:00:00+01:00,128.39
2025-01-04 09:00:00+01:00,130.75
2025-01-04 10:00:00+01:00,130.34
2025-01-04 11:00:00+01:00,128.29
2025-01-04 12:00:00+01:00,130.03
2025-01-04 13:00:00+01:00,129.85
2025-01-04 14:00:00+01:00,136.4
2025-01-04 15:00:00+01:00,138.89
2025-01-04 16:00:00+01:00,133.52
2025-01-04 17:00:00+01:00,136.78
2025-01-04 18:00:00+01:00,145.0
2025-01-04 19:00:00+01:00,139.73
2025-01-04 20:00:00+01:00,130.49
2025-01-04 21:00:00+01:00,123.82
2025-01-04 22:00:00+01:00,119.23
2025-01-04 23:00:00+01:00,109.9
2025-01-05 00:00:00+01:00,101.77
2025-01-05 01:00:00+01:00,70.5
2025-01-05 02:00:00+01:00,64.81
2025-01-05 03:00:00+01:00,46.7
2025-01-05 04:00:00+01:00,43.87
2025-01-05 05:00:00+01:00,36.61
2025-01-05 06:00:00+01:00,34.04
2025-01-05 07:00:00+01:00,44.0
2025-01-05 08:00:00+01:00,51.27
2025-01-05 09:00:00+01:00,50.0
2025-01-05 10:00:00+01:00,49.81
2025-01-05 11:00:00+01:00,43.05
2025-01-05 12:00:00+01:00,45.74
2025-01-05 13:00:00+01:00,35.19
2025-01-05 14:00:00+01:00,30.0
2025-01-05 15:00:00+01:00,28.0
2025-01-05 16:00:00+01:00,35.22
2025-01-05 17:00:00+01:00,57.72
2025-01-05 18:00:00+01:00,64.81
2025-01-05 19:00:00+01:00,59.06
2025-01-05 20:00:00+01:00,50.97
2025-01-05 21:00:00+01:00,48.89
2025-01-05 22:00:00+01:00,38.22
2025-01-05 23:00:00+01:00,20.55
2025-01-06 00:00:00+01:00,13.28
2025-01-06 01:00:00+01:00,8.35
2025-01-06 02:00:00+01:00,5.23
2025-01-06 03:00:00+01:00,3.52
2025-01-06 04:00:00+01:00,3.52
2025-01-06 05:00:00+01:00,5.61
2025-01-06 06:00:00+01:00,11.27
2025-01-06 07:00:00+01:00,37.0
2025-01-06 08:00:00+01:00,58.15
2025-01-06 09:00:00+01:00,51.15
2025-01-06 10:00:00+01:00,40.81
2025-01-06 11:00:00+01:00,32.83
2025-01-06 12:00:00+01:00,31.28
2025-01-06 13:00:00+01:00,28.6
2025-01-06 14:00:00+01:00,26.95
2025-01-06 15:00:00+01:00,26.32
2025-01-06 16:00:00+01:00,38.49
2025-01-06 17:00:00+01:00,67.5
2025-01-06 18:00:00+01:00,88.34
2025-01-06 19:00:00+01:00,79.66
2025-01-06 20:00:00+01:00,67.18
2025-01-06 21:00:00+01:00,48.79
2025-01-06 22:00:00+01:00,48.02
2025-01-06 23:00:00+01:00,28.8
2025-01-07 00:00:00+01:00,20.88
2025-01-07 01:00:00+01:00,6.66
2025-01-07 02:00:00+01:00,12.54
2025-01-07 03:00:00+01:00,5.59
2025-01-07 04:00:00+01:00,0.4
2025-01-07 05:00:00+01:00,12.49
2025-01-07 06:00:00+01:00,60.01
2025-01-07 07:00:00+01:00,97.56
2025-01-07 08:00:00+01:00,115.0
2025-01-07 09:00:00+01:00,105.18
2025-01-07 10:00:00+01:00,93.49
2025-01-07 11:00:00+01:00,74.93
2025-01-07 12:00:00+01:00,71.25
2025-01-07 13:00:00+01:00,73.12
2025-01-07 14:00:00+01:00,79.76
