,Long,Short
2025-01-01 00:00:00+01:00,20.34,23.28
2025-01-01 00:15:00+01:00,19.22,22.0
2025-01-01 00:30:00+01:00,32.13,36.79
2025-01-01 00:45:00+01:00,29.13,33.35
2025-01-01 01:00:00+01:00,13.24,15.16
2025-01-01 01:15:00+01:00,14.27,16.33
2025-01-01 01:30:00+01:00,14.31,16.39
2025-01-01 01:45:00+01:00,92.37,105.77
2025-01-01 02:00:00+01:00,517.53,592.57
2025-01-01 02:15:00+01:00,455.57,521.63
2025-01-01 02:30:00+01:00,450.93,516.31
2025-01-01 02:45:00+01:00,2.31,2.65
2025-01-01 03:00:00+01:00,715.38,819.12
2025-01-01 03:15:00+01:00,516.74,591.66
2025-01-01 03:30:00+01:00,11.46,13.12
2025-01-01 03:45:00+01:00,-7.57,-6.61
2025-01-01 04:00:00+01:00,-7.27,-6.35
2025-01-01 04:15:00+01:00,9.31,10.67
2025-01-01 04:30:00+01:00,9.31,10.67
2025-01-01 04:45:00+01:00,-9.61,-8.39
2025-01-01 05:00:00+01:00,9.31,10.67
2025-01-01 05:15:00+01:00,11.39,13.05
2025-01-01 05:30:00+01:00,11.41,13.07
2025-01-01 05:45:00+01:00,11.48,13.14
2025-01-01 06:00:00+01:00,11.41,13.07
2025-01-01 06:15:00+01:00,11.52,13.18
2025-01-01 06:30:00+01:00,11.52,13.18
2025-01-01 06:45:00+01:00,11.52,13.18
2025-01-01 07:00:00+01:00,11.52,13.18
2025-01-01 07:15:00+01:00,11.52,13.18
2025-01-01 07:30:00+01:00,11.52,13.18
2025-01-01 07:45:00+01:00,10.9,12.48
2025-01-01 08:00:00+01:00,11.17,12.79
2025-01-01 08:15:00+01:00,12.39,14.19
2025-01-01 08:30:00+01:00,12.3,14.08
2025-01-01 08:45:00+01:00,9.54,10.92
2025-01-01 09:00:00+01:00,-3.59,-3.13
2025-01-01 09:15:00+01:00,-14.22,-12.42
2025-01-01 09:30:00+01:00,-43.55,-38.03
2025-01-01 09:45:00+01:00,-38.62,-33.72
2025-01-01 10:00:00+01:00,0.58,0.66
2025-01-01 10:15:00+01:00,1.44,1.64
2025-01-01 10:30:00+01:00,0.16,0.18
2025-01-01 10:45:00+01:00,-0.04,-0.04
2025-01-01 11:00:00+01:00,45.23,51.79
2025-01-01 11:15:00+01:00,3.05,3.49
2025-01-01 11:30:00+01:00,3.22,3.68
2025-01-01 11:45:00+01:00,3.65,4.17
2025-01-01 12:00:00+01:00,1.08,1.24
2025-01-01 12:15:00+01:00,2.61,2.99
2025-01-01 12:30:00+01:00,2.77,3.17
2025-01-01 12:45:00+01:00,2.81,3.21
2025-01-01 13:00:00+01:00,8.74,10.0
2025-01-01 13:15:00+01:00,9.71,11.11
2025-01-01 13:30:00+01:00,8.2,9.38
2025-01-01 13:45:00+01:00,-10.86,-9.48
2025-01-01 14:00:00+01:00,6.99,8.01
2025-01-01 14:15:00+01:00,6.82,7.8
2025-01-01 14:30:00+01:00,4.97,5.69
2025-01-01 14:45:00+01:00,4.99,5.71
2025-01-01 15:00:00+01:00,5.49,6.29
2025-01-01 15:15:00+01:00,4.99,5.71
2025-01-01 15:30:00+01:00,4.99,5.71
2025-01-01 15:45:00+01:00,4.99,5.71
2025-01-01 16:00:00+01:00,5.26,6.02
2025-01-01 16:15:00+01:00,5.61,6.43
2025-01-01 16:30:00+01:00,226.62,259.48
2025-01-01 16:45:00+01:00,92.84,106.3
2025-01-01 17:00:00+01:00,11.06,12.66
2025-01-01 17:15:00+01:00,8.86,10.14
2025-01-01 17:30:00+01:00,19.0,21.76
2025-01-01 17:45:00+01:00,65.46,74.96
2025-01-01 18:00:00+01:00,19.0,21.76
2025-01-01 18:15:00+01:00,20.32,23.26
2025-01-01 18:30:00+01:00,18.02,20.64
2025-01-01 18:45:00+01:00,21.07,24.13
2025-01-01 19:00:00+01:00,5.41,6.19
2025-01-01 19:15:00+01:00,7.8,8.94
2025-01-01 19:30:00+01:00,3.23,3.69
2025-01-01 19:45:00+01:00,3.88,4.44
2025-01-01 20:00:00+01:00,70.8,81.06
2025-01-01 20:15:00+01:00,8.02,9.18
2025-01-01 20:30:00+01:00,4.78,5.48
2025-01-01 20:45:00+01:00,-10.53,-9.19
2025-01-01 21:00:00+01:00,73.87,84.59
2025-01-01 21:15:00+01:00,4.86,5.56
2025-01-01 21:30:00+01:00,5.71,6.53
2025-01-01 21:45:00+01:00,7.93,9.07
2025-01-01 22:00:00+01:00,-4.74,-4.14
2025-01-01 22:15:00+01:00,-5.97,-5.21
2025-01-01 22:30:00+01:00,58.41,66.87
2025-01-01 22:45:00+01:00,59.1,67.66
2025-01-01 23:00:00+01:00,71.89,82.31
2025-01-01 23:15:00+01:00,-90.82,-79.32
2025-01-01 23:30:00+01:00,72.22,82.7
2025-01-01 23:45:00+01:00,15.38,17.6
2025-01-02 00:00:00+01:00,11.42,13.08
2025-01-02 00:15:00+01:00,11.77,13.47
2025-01-02 00:30:00+01:00,11.85,13.57
2025-01-02 00:45:00+01:00,-5.73,-5.01
2025-01-02 01:00:00+01:00,11.17,12.79
2025-01-02 01:15:00+01:00,11.57,13.25
2025-01-02 01:30:00+01:00,11.57,13.25
2025-01-02 01:45:00+01:00,12.33,14.11
2025-01-02 02:00:00+01:00,10.5,12.02
2025-01-02 02:15:00+01:00,10.01,11.47
2025-01-02 02:30:00+01:00,10.14,11.6
2025-01-02 02:45:00+01:00,11.22,12.84
2025-01-02 03:00:00+01:00,10.66,12.2
2025-01-02 03:15:00+01:00,10.19,11.67
2025-01-02 03:30:00+01:00,11.17,12.79
2025-01-02 03:45:00+01:00,11.18,12.8
2025-01-02 04:00:00+01:00,11.61,13.29
2025-01-02 04:15:00+01:00,12.92,14.8
2025-01-02 04:30:00+01:00,13.59,15.57
2025-01-02 04:45:00+01:00,13.93,15.95
2025-01-02 05:00:00+01:00,20.25,23.19
2025-01-02 05:15:00+01:00,28.11,32.19
2025-01-02 05:30:00+01:00,31.2,35.72
